,최초등록,주행거리,연료,배기량,외관컬러,내장컬러,차종,승차인원,구동방식,차량번호,연식,변속기,가격,option,Unnamed: 14
52,2023.11.05,"5,006km",가솔린,"1,598cc",네오테릭 옐로우,그레이,SUV,5인승,AWD,107마2568,2023년,오토,"31,200,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
53,2023.11.05,"3,465km",하이브리드,"1,580cc",아틀라스 화이트,베이지 컬러패키지,SUV,5인승,2WD,107마2595,2023년,CVT,"34,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
54,2023.09.07,"13,336km",하이브리드,"1,580cc",아틀라스 화이트,베이지 컬러패키지,SUV,5인승,2WD,227두3716,2023년,CVT,"33,800,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
55,2023.04.26,"12,243km",하이브리드,"1,580cc",아틀라스 화이트,블랙모노톤,SUV,5인승,2WD,174수3991,2023년,CVT,"34,100,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
56,2023.04.24,"12,787km",하이브리드,"1,580cc",아틀라스 화이트,세이지 그린 컬러패키지,SUV,5인승,2WD,203로9230,2023년,CVT,"33,800,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
57,,,,,,,,,,,,,,", , , , , , , , , , , , , ",
58,2022.01.02,"61,494km",가솔린,"1,598cc",팬텀 블랙 펄,블랙,SUV,5인승,2WD,280저6881,2022년,오토,"21,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤",
59,2021.04.14,"16,785km",가솔린,"1,999cc",아틀라스 화이트,블랙,SUV,5인승,2WD,390노7576,2021년,CVT,"22,200,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤",
60,2020.03.19,"57,027km",디젤,"1,598cc",레이크실버,블랙,SUV,5인승,2WD,390노7553,2020년,오토,"16,200,000","후방 모니터, 차선 이탈 경보",
61,2020.03.11,"86,655km",디젤,"1,598cc",레이크실버,블랙,SUV,5인승,2WD,307로5199,2020년,오토,"14,800,000",차선 이탈 경보,
62,2022.04.20,"26,984km",가솔린,"1,999cc",사이버 그레이 메탈릭,그레이,SUV,5인승,AWD,236누3354,2022년,CVT,"22,700,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤",
63,2023.04.26,"16,740km",하이브리드,"1,580cc",아틀라스 화이트,블랙모노톤,SUV,5인승,2WD,391보3597,2023년,CVT,"29,800,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍시트(1열), 전동 시트 (운전석), 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 차선 이탈 경보, 전방 주차거리 경고",
64,2021.10.31,"18,412km",전기,-,상파울로 라임,토렌트 네이비,EV,5인승,AWD,53나2384,2021년,,"55,800,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
65,2021.12.20,"19,864km",전기,-,카본 메탈,블랙모노톤(디지털도트),EV,5인승,AWD,05보6167,2021년,,"51,600,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
66,2021.02.09,"28,611km",가솔린,"2,497cc",우유니 화이트,하바나 브라운,SUV,5인승,AWD,291버6949,2021년,오토,"56,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
67,2022.02.02,"22,432km",가솔린,"2,497cc",마우나 레드,블랙모노톤,SUV,5인승,AWD,195노9332,2022년,오토,"47,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 전동식 트렁크, 선루프, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
68,2021.03.22,"23,842km",가솔린,"2,497cc",마우나 레드,옵시디언블랙/세비야레드투톤,SUV,5인승,AWD,359우1234,2021년,오토,"52,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
69,2020.03.01,"3,753km",가솔린,"3,342cc",로얄 블루,브라운/베이지투톤(베이지시트),승용,5인승,2WD,211누6771,2020년,오토,"43,200,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
70,2021.01.24,"65,110km",가솔린,"2,497cc",우유니 화이트,바닐라베이지투톤,SUV,5인승,2WD,373오8640,2021년,오토,"44,200,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
71,2022.05.15,"23,915km",가솔린,"2,497cc",카디프 그린,벨벳버건디투톤(벨벳버건디시트),SUV,5인승,AWD,382조4253,2022년,오토,"59,700,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
